trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Mean sphered cell volume	Biological samples	0.0207	0.5475	0.743240273972603		0.0207	0.0344	0.6015	0.5475	0.743240273972603		0.0147	0.0418	0.3518	0.725	0.904424307304786		0.0204	0.0388	0.5261	0.5989	0.821514701803051		0.1868	0.0192	1.1787	0.0521	0.0139	0.0078	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30270
Illnesses of father: None of the above (group 2)	Family history and early life factors	0.0421	0.5482	0.743240273972603		-0.0421	0.0701	-0.6005	0.5482	0.743240273972603		0.0122	0.0762	0.1599	0.873	0.963612723214286		-0.0117	0.0728	-0.1611	0.872	0.96060297029703		0.0102	0.0015	0.9995	0.0071	5e-04	0.0045	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107
Oily fish intake	Lifestyle and environment	0.0399	0.3897	0.74404111969112		0.0194	0.0363	0.5333	0.5938	0.773739393939394		-0.0399	0.0463	-0.8602	0.3897	0.74404111969112		-0.013	0.0414	-0.3152	0.7526	0.900025876662636		0.0647	0.0034	1.0047	0.0107	0.0017	0.0058	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1329
Frequency of memory loss due to drinking alcohol in last year	Mental health	0.0478	0.5502	0.744388235294118		-0.0478	0.08	-0.5975	0.5502	0.744388235294118		-0.0056	0.0754	-0.0738	0.9412	0.989301831129196		-0.0278	0.0761	-0.3647	0.7153	0.879944009779951		0.0401	0.0083	0.9978	0.0069	0.0294	0.0051	Alcohol use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20408
Average weekly red wine intake	Lifestyle and environment	0.0351	0.3926	0.746695		-0.014	0.0414	-0.338	0.7353	0.852176806526807		0.0351	0.041	0.8549	0.3926	0.746695		0.0153	0.0399	0.3832	0.7016	0.870617816813049		0.056	0.0032	0.9973	0.0078	0.0086	0.0051	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1568
Substances taken for depression: Drugs or alcohol (more than once)	Mental health	0.0743	0.3951	0.748412144212524		0.0084	0.0799	0.1056	0.9159	0.952328046218487		-0.0743	0.0874	-0.8505	0.3951	0.748412144212524		-0.0383	0.0849	-0.4512	0.6519	0.846936566186107		0.0258	0.0044	0.9987	0.0072	0.0249	0.0054	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20546
Mouth/teeth dental problems: Toothache	Medical history and conditions	0.0511	0.5583	0.75164		0.0511	0.0872	0.5853	0.5583	0.75164		0.0144	0.0779	0.185	0.8532	0.961533930571109		0.0319	0.0819	0.3901	0.6965	0.86624472361809		0.0075	0.0014	1.0036	0.0072	-0.0023	0.0055	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Mouth/teeth dental problems: None of the above	Medical history and conditions	0.0268	0.5586	0.75164		-0.0268	0.0458	-0.585	0.5586	0.75164		-0.0067	0.0548	-0.1229	0.9022	0.968811943539631		-0.0182	0.0514	-0.3543	0.7231	0.879944009779951		0.0389	0.0019	1.015	0.0079	-0.0116	0.0055	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Tinnitus: Yes, but not now, but have in the past	Medical history and conditions	0.0709	0.4044	0.751751123595506		-8e-04	0.0897	-0.0085	0.9932	0.995212563323202		-0.0709	0.085	-0.8339	0.4044	0.751751123595506		-0.0443	0.0863	-0.5136	0.6075	0.826433975240715		0.0178	0.0042	0.991	0.0065	-0.0052	0.0048	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4803
Type of tobacco previously smoked: Manufactured cigarettes	Lifestyle and environment	0.0621	0.5622	0.753192422192152		0.0621	0.1071	0.5796	0.5622	0.753192422192152		-0.0573	0.107	-0.5357	0.5921	0.843797454031117		-0.0017	0.104	-0.016	0.9873	0.993326246185148		0.0165	0.0049	1.0056	0.0067	-0.0054	0.0047	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2877
Non-butter spread type details: Other low or reduced fat spread	Lifestyle and environment	0.0496	0.5625	0.753192422192152		0.0496	0.0857	0.5791	0.5625	0.753192422192152		0.0256	0.1081	0.2372	0.8125	0.956109733487833		0.0342	0.0978	0.3493	0.7268	0.879944009779951		0.0117	0.0028	0.9951	0.0071	0.0029	0.0051	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2654
Recent lack of interest or pleasure in doing things	Mental health	0.0347	0.5628	0.753192422192152		0.0347	0.0599	0.5787	0.5628	0.753192422192152		0.0221	0.0621	0.356	0.7218	0.904424307304786		0.0276	0.0598	0.4606	0.6451	0.843781398416887		0.039	0.0045	1.0003	0.0071	0.0104	0.0048	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20514
Energy	Diet by 24-hour recall	0.0708	0.41	0.754089648798521		0.0117	0.0904	0.1298	0.8967	0.939445233050847		0.0708	0.086	0.8238	0.41	0.754089648798521		0.0525	0.0884	0.5942	0.5524	0.790491547277937		0.0423	0.0095	1.0075	0.0068	-0.0031	0.005	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100002
Milk type used: Never/rarely have milk	Lifestyle and environment	0.0498	0.4112	0.754089648798521		-0.0148	0.0605	-0.244	0.8073	0.894308510638298		0.0498	0.0606	0.8218	0.4112	0.754089648798521		0.022	0.0605	0.3636	0.7162	0.879944009779951		0.0139	0.0017	1.0078	0.0068	0.0035	0.0047	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1418
Medication related adverse effects	Medical history and conditions	0.0375	0.5647	0.754713918918919		0.0375	0.0651	0.5759	0.5647	0.754713918918919		-0.0301	0.0671	-0.4482	0.654	0.880435073627845		5e-04	0.0647	0.0081	0.9935	0.995513171225937		0.0138	0.0016	1.0057	0.0074	0.0042	0.0054	NA	NA
Pain type(s) experienced in last month: Neck or shoulder pain	Medical history and conditions	0.0378	0.4138	0.754954880294659		0.0207	0.0486	0.4261	0.67	0.813042944785276		-0.0378	0.0463	-0.8172	0.4138	0.754954880294659		-0.011	0.0463	-0.2384	0.8116	0.93334		0.0327	0.0019	1.0199	0.0075	-0.003	0.0055	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159
Disorders of lens	Medical history and conditions	0.0503	0.4145	0.754954880294659		0.0169	0.0589	0.2873	0.7739	0.871535153583618		-0.0503	0.0616	-0.8159	0.4145	0.754954880294659		-0.0205	0.059	-0.3481	0.7278	0.879944009779951		0.0164	0.0018	1.0056	0.0074	0.0042	0.0054	NA	NA
Alanine aminotransferase (U/L)	Biological samples	0.0351	0.4164	0.755632293577982		0.0098	0.0372	0.2647	0.7912	0.885177375565611		-0.0351	0.0432	-0.8126	0.4164	0.755632293577982		-0.0161	0.0413	-0.3891	0.6972	0.86624472361809		0.1248	0.0093	1.0647	0.022	0.004	0.0068	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30620
Eosinophill percentage	Biological samples	0.0318	0.4217	0.7581303125		-0.0111	0.0355	-0.3132	0.7541	0.862589885057471		-0.0318	0.0396	-0.8035	0.4217	0.761060766423358		-0.0263	0.0382	-0.6894	0.4906	0.7581303125		0.1873	0.018	1.129	0.0473	-0.0036	0.0075	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30210
Never eat eggs, dairy, wheat, sugar: Wheat products	Lifestyle and environment	0.1021	0.5052	0.76231534320323		0.0738	0.1309	0.5641	0.5727	0.76231534320323		-0.1021	0.1533	-0.6663	0.5052	0.803207028753994		-0.0224	0.1448	-0.1548	0.877	0.96060297029703		0.0035	0.0014	1.0081	0.0066	-0.0033	0.0054	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144
Sweet snack consumers	Diet by 24-hour recall	0.0986	0.4241	0.763019782214156		-0.0448	0.1134	-0.3951	0.6927	0.828392140266022		0.0986	0.1234	0.7993	0.4241	0.763019782214156		0.0317	0.1169	0.2708	0.7865	0.922833686690224		0.0275	0.0094	1.0051	0.0073	-0.0064	0.0052	Soup/snacks/pastries yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102250
Fish consumer	Diet by 24-hour recall	0.1097	0.4246	0.763019782214156		-0.0423	0.1271	-0.3328	0.7393	0.852176806526807		-0.1097	0.1374	-0.7985	0.4246	0.763019782214156		-0.0794	0.1294	-0.6133	0.5397	0.784094281524927		0.0181	0.01	0.9901	0.0066	-6e-04	0.0049	Meat/fish yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=103140
Red blood cell (erythrocyte) count	Biological samples	0.0372	0.4251	0.763019782214156		-0.0073	0.0385	-0.1908	0.8487	0.915928073993471		0.0372	0.0466	0.7976	0.4251	0.763019782214156		0.0183	0.0448	0.4093	0.6823	0.861806768837803		0.2024	0.0206	1.2149	0.0477	-0.0053	0.0079	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30010
Cylindrical power (left)	Physical measures	0.0715	0.4294	0.763856014362657		-0.0018	0.0912	-0.0193	0.9846	0.990609766022381		-0.0715	0.0905	-0.7901	0.4294	0.763856014362657		-0.0444	0.0881	-0.5035	0.6146	0.827665170068027		0.0296	0.0069	1.003	0.0068	0.0033	0.005	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5086
Ever had hysterectomy (womb removed)	Maternity and sex-specific factors	0.0641	0.4299	0.763856014362657		-0.0076	0.0723	-0.1045	0.9167	0.952328046218487		-0.0641	0.0812	-0.7894	0.4299	0.763856014362657		-0.0371	0.0764	-0.4856	0.6273	0.838377972972973		0.0241	0.0031	1.0062	0.0072	0.0071	0.0054	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3591
Hot drink temperature	Lifestyle and environment	0.0287	0.4302	0.763856014362657		-0.0142	0.0425	-0.3339	0.7385	0.852176806526807		-0.0287	0.0364	-0.7889	0.4302	0.763856014362657		-0.0262	0.0396	-0.6604	0.509	0.770905053598775		0.0771	0.0034	1.0135	0.01	0.002	0.0058	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1518
Diagnoses - main ICD10: K80 Cholelithiasis	Medical history and conditions	0.0381	0.5474	0.765020588235294		-0.0319	0.0573	-0.5561	0.5782	0.765020588235294		0.0381	0.0632	0.6017	0.5474	0.81943580060423		0.0041	0.0595	0.0683	0.9455	0.973792466460268		0.0141	0.0021	1.0291	0.0092	-8.7514e-05	0.0048	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Duration of worst depression	Mental health	0.0551	0.5785	0.765020588235294		0.0551	0.0993	0.5556	0.5785	0.765020588235294		0.0157	0.0936	0.1676	0.8669	0.961533930571109		0.0413	0.0968	0.4268	0.6695	0.854368387096774		0.031	0.0074	1.0071	0.0072	0.0067	0.0053	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20438
Difficulty not smoking for 1 day	Lifestyle and environment	0.0509	0.5029	0.767652380952381		0.0409	0.0752	0.5434	0.5868	0.767652380952381		0.049	0.078	0.6282	0.5298	0.806695852534562		0.0509	0.076	0.6699	0.5029	0.769560862865948		0.1154	0.0199	0.9892	0.0062	-9.9808e-05	0.0053	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3476
Mineral and other dietary supplements: Fish oil (including cod liver oil)	Medications	0.0271	0.5829	0.767652380952381		0.0271	0.0494	0.5492	0.5829	0.767652380952381		-0.0024	0.0629	-0.0382	0.9695	0.989301831129196		0.0118	0.0568	0.2075	0.8356	0.948850229357798		0.0263	0.0018	1.008	0.0073	-0.0052	0.0051	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179
Ever had bowel cancer screening	Medical history and conditions	0.037	0.5842	0.767652380952381		-0.037	0.0675	-0.5473	0.5842	0.767652380952381		0.0355	0.0681	0.5209	0.6024	0.843797454031117		8e-04	0.0667	0.0117	0.9907	0.994416430020284		0.0133	0.0016	1.0133	0.007	0.004	0.0054	Cancer screening - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2345
Workplace had a lot of cigarette smoke from other people smoking: Rarely/never	Work environment	0.0727	0.5845	0.767652380952381		-0.0727	0.1329	-0.5468	0.5845	0.767652380952381		0.0469	0.1349	0.3473	0.7284	0.905009547738693		-0.0116	0.1319	-0.0883	0.9297	0.969908544303797		0.0111	0.0048	1.0098	0.0062	-0.0028	0.0054	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22611
Length of menstrual cycle	Maternity and sex-specific factors	0.0614	0.4354	0.768105704099822		0.0197	0.0786	0.2507	0.802	0.893218468468469		0.0614	0.0788	0.78	0.4354	0.768105704099822		0.0502	0.0795	0.6321	0.5273	0.784094281524927		0.095	0.0201	1.0029	0.0071	0.0054	0.005	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3710
6mm asymmetry index (right)	Physical measures	0.0526	0.4615	0.770905053598775		-0.0268	0.0714	-0.375	0.7076	0.838103473053892		-0.0526	0.0714	-0.7363	0.4615	0.782651016949153		-0.0471	0.071	-0.6631	0.5073	0.770905053598775		0.1069	0.0155	1.0121	0.0077	0.0011	0.0055	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5158
Fat	Diet by 24-hour recall	0.088	0.4422	0.771315343915344		0.019	0.101	0.1877	0.8511	0.915928073993471		0.088	0.1145	0.7684	0.4422	0.771315343915344		0.0645	0.1087	0.5936	0.5528	0.790491547277937		0.0324	0.0104	1.0042	0.0069	-0.0021	0.005	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100004
Non-cancer illness code, self-reported: cholelithiasis/gall stones	Medical history and conditions	0.0595	0.4422	0.771315343915344		-0.0235	0.0788	-0.2984	0.7654	0.865120685714286		-0.0595	0.0774	-0.7684	0.4422	0.771315343915344		-0.0411	0.0766	-0.5357	0.5921	0.820149719887955		0.0083	0.0017	1.0193	0.0078	0.004	0.0051	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Bipolar and major depression status: Probable Recurrent major depression (moderate)	Mental health	0.0511	0.5915	0.772778731836196		0.0511	0.0952	0.5366	0.5915	0.772778731836196		-0.002	0.0917	-0.0214	0.9829	0.989301831129196		0.0189	0.0934	0.2021	0.8398	0.949213942857143		0.0281	0.0053	0.9954	0.0065	0.0033	0.005	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20126
Age asthma diagnosed	Medical history and conditions	0.0427	0.5935	0.773739393939394		-0.0427	0.0801	-0.5338	0.5935	0.773739393939394		0.0158	0.0671	0.2351	0.8141	0.956109733487833		-0.008	0.0732	-0.1089	0.9133	0.96343329787234		0.1386	0.036	1.0059	0.011	0.0033	0.0053	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3786
Morning/evening person (chronotype)	Lifestyle and environment	0.0287	0.4445	0.773818629173989		0.0112	0.0357	0.314	0.7535	0.862589885057471		-0.0287	0.0375	-0.7646	0.4445	0.773818629173989		-0.011	0.0364	-0.3011	0.7633	0.908428038507822		0.1163	0.0043	1.045	0.0118	0.0035	0.0065	Sleep - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1180
Major dietary changes in the last 5 years: Yes, because of other reasons	Lifestyle and environment	0.0332	0.5948	0.774022631578947		0.0332	0.0625	0.5319	0.5948	0.774022631578947		-0.0247	0.0669	-0.3689	0.7122	0.903236143039591		-7e-04	0.0655	-0.0108	0.9914	0.994416430020284		0.0188	0.0017	1.0107	0.0073	0.0015	0.0056	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1538
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	Medical history and conditions	0.0207	0.5825	0.776410013003901		0.0202	0.0388	0.5212	0.6022	0.776410013003901		-0.0207	0.0376	-0.5497	0.5825	0.83835		-0.0014	0.0383	-0.0371	0.9704	0.985344558521561		0.0721	0.0056	1.0413	0.0158	-0.0033	0.006	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Intra-ocular pressure, corneal-compensated (left)	Physical measures	0.0242	0.6	0.776410013003901		0.0242	0.046	0.5245	0.6	0.776410013003901		0.0016	0.0503	0.0328	0.9738	0.989301831129196		0.013	0.0476	0.2736	0.7844	0.922833686690224		0.1504	0.0108	1.028	0.01	-0.0025	0.0052	Intraocular pressure - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5262
3mm asymmetry angle (left)	Physical measures	0.0397	0.6015	0.776410013003901		0.0397	0.0759	0.5223	0.6015	0.776410013003901		0.0178	0.0721	0.2469	0.805	0.955756302521009		0.0337	0.0726	0.4649	0.642	0.843781398416887		0.053	0.007	1.0094	0.0058	-1e-04	0.0054	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5111
Number of fluid intelligence questions attempted within time limit	Cognitive function	0.0277	0.6016	0.776410013003901		-0.0277	0.053	-0.5221	0.6016	0.776410013003901		-0.017	0.045	-0.3768	0.7063	0.903083011583012		-0.0235	0.0478	-0.493	0.622	0.83467842605156		0.084	0.0068	1.016	0.0088	-0.0011	0.0058	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20128
Workplace very hot: Rarely/never	Work environment	0.0442	0.6034	0.776410013003901		-0.0442	0.0852	-0.5194	0.6034	0.776410013003901		-0.0238	0.082	-0.2905	0.7714	0.935671568627451		-0.0379	0.0819	-0.4627	0.6436	0.843781398416887		0.0314	0.0061	1.0086	0.0066	-0.0048	0.0051	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22608
Gap coding: Looking after the home and/or family	Work environment	0.1065	0.4511	0.7777606271777		-0.0366	0.1328	-0.2753	0.7831	0.878101927437642		-0.1065	0.1414	-0.7535	0.4511	0.7777606271777		-0.0801	0.1352	-0.5923	0.5537	0.790491547277937		0.0151	0.0068	1.0022	0.0066	-0.0096	0.0048	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22660
Reproduciblity of spirometry measurement using ERS/ATS criteria	Physical measures	0.0551	0.517	0.778123556231003		0.0355	0.0752	0.4719	0.637	0.79444262295082		0.0551	0.0855	0.645	0.5189	0.805151410658307		0.0516	0.0797	0.648	0.517	0.778123556231003		0.014	0.002	1.0033	0.0069	0.0044	0.0056	Spirometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20152
Treatment/medication code: ibuprofen	Medications	0.0323	0.6059	0.778227402597403		0.0323	0.0626	0.5159	0.6059	0.778227402597403		0.0124	0.0634	0.1958	0.8448	0.960353103448276		0.0221	0.0635	0.3484	0.7276	0.879944009779951		0.0161	0.0015	1.0001	0.0066	0.0014	0.0052	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Physically abused by family as a child	Mental health	0.0319	0.6081	0.780040077821012		-0.0319	0.0621	-0.5128	0.6081	0.780040077821012		-0.0289	0.0576	-0.5015	0.616	0.854451612903226		-0.0299	0.059	-0.506	0.6129	0.827665170068027		0.06	0.0049	1.0022	0.0069	0.0079	0.0056	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488
Job coding: all other personal assistants and secretaries	Work environment	0.0548	0.6097	0.781079404145078		-0.0548	0.1074	-0.5105	0.6097	0.781079404145078		0.0037	0.1053	0.0353	0.9719	0.989301831129196		-0.0214	0.1045	-0.2049	0.8376	0.948896219931271		0.0163	0.0054	0.9952	0.0066	0.0021	0.0049	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22601
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Medical history and conditions	0.0497	0.6124	0.782511111111111		0.0497	0.098	0.5067	0.6124	0.782511111111111		0.0474	0.1057	0.4486	0.6537	0.880435073627845		0.0467	0.1015	0.4597	0.6457	0.843781398416887		0.0054	0.0012	0.9931	0.0059	0.0026	0.0047	NA	NA
Able to pay rent/mortgage as an adult	Mental health	0.0617	0.457	0.782651016949153		-0.0306	0.0876	-0.3499	0.7264	0.852176806526807		-0.0617	0.083	-0.7437	0.457	0.782651016949153		-0.0528	0.0843	-0.6265	0.531	0.784094281524927		0.0246	0.0042	0.9934	0.0063	-0.0094	0.005	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20525
Ever thought that life not worth living	Mental health	0.0372	0.4607	0.782651016949153		0.0127	0.0541	0.2343	0.8147	0.899692307692308		0.0372	0.0504	0.7378	0.4607	0.782651016949153		0.0279	0.0523	0.5333	0.5938	0.821144722222222		0.0733	0.0053	1.0092	0.0071	0.0143	0.0052	Self-harm behaviours - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20479
Mineral and other dietary supplements: Selenium	Medications	0.0668	0.4641	0.782651016949153		0.0044	0.0937	0.0469	0.9626	0.980444284243049		-0.0668	0.0913	-0.7322	0.4641	0.782651016949153		-0.0441	0.0905	-0.4875	0.6259	0.838377972972973		0.0068	0.0015	1.0007	0.0068	-3e-04	0.0052	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179
Intake of sugar added to coffee	Diet by 24-hour recall	0.0611	0.4661	0.782651016949153		0.0334	0.0883	0.3781	0.7053	0.838097358943577		0.0611	0.0838	0.7289	0.4661	0.782651016949153		0.0513	0.0835	0.6145	0.5389	0.784094281524927		0.0419	0.0099	0.9947	0.0072	-0.0033	0.0046	Hot/cold beverages yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100370
Workplace had a lot of cigarette smoke from other people smoking: Sometimes	Work environment	0.0925	0.4669	0.782651016949153		0.0288	0.1164	0.2475	0.8045	0.893540965207632		-0.0925	0.1271	-0.7275	0.4669	0.782651016949153		-0.0315	0.1228	-0.2563	0.7977	0.925537236533958		0.0153	0.005	1.0086	0.0068	0.0026	0.0055	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22611
Cheese consumers	Diet by 24-hour recall	0.0567	0.6134	0.782777548387097		0.0567	0.1123	0.5052	0.6134	0.782777548387097		-0.0428	0.1148	-0.3726	0.7095	0.903083011583012		0.0073	0.1116	0.0652	0.948	0.973792466460268		0.0243	0.0089	0.9986	0.0059	-0.0092	0.0045	Milk/eggs/cheese yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102800
Frequency of consuming six or more units of alcohol	Mental health	0.0335	0.6017	0.782799227799228		0.03	0.0597	0.5029	0.615	0.782799227799228		-0.0335	0.0642	-0.522	0.6017	0.843797454031117		-0.0043	0.0636	-0.068	0.9458	0.973792466460268		0.0632	0.0058	0.9996	0.0074	0.0227	0.0051	Alcohol use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20416
Spherical power (right)	Physical measures	0.0173	0.6147	0.782799227799228		0.0173	0.0344	0.5033	0.6147	0.782799227799228		0.0021	0.0369	0.0561	0.9552	0.989301831129196		0.0061	0.0353	0.1725	0.8631	0.959107752808989		0.2992	0.0169	1.058	0.0113	-0.0029	0.0051	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5084
Total sugars	Diet by 24-hour recall	0.0533	0.4703	0.785367435897436		-0.0384	0.0773	-0.4968	0.6193	0.785367435897436		0.0533	0.0738	0.722	0.4703	0.786188175675676		0.0197	0.0748	0.2635	0.7922	0.922833686690224		0.056	0.0097	1.0047	0.0069	-0.0052	0.005	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100008
Calcium	Diet by 24-hour recall	0.0415	0.6194	0.785367435897436		-0.0415	0.0836	-0.4966	0.6194	0.785367435897436		-0.0087	0.0825	-0.1051	0.9163	0.978640064794816		-0.0182	0.0833	-0.2182	0.8273	0.942626382488479		0.0462	0.01	0.9929	0.0068	-0.0083	0.0048	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100024
Impact on normal roles during worst period of anxiety	Mental health	0.0448	0.6205	0.785754801536492		-0.0448	0.0904	-0.4951	0.6205	0.785754801536492		-0.0082	0.101	-0.0809	0.9355	0.989301831129196		-0.0262	0.095	-0.2761	0.7825	0.922833686690224		0.0548	0.0133	0.9937	0.0069	0.005	0.0044	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20418
Malignant neoplasm of prostate	Medical history and conditions	0.0412	0.5557	0.785761764705882		-0.0368	0.0746	-0.494	0.6213	0.785761764705882		-0.0382	0.0675	-0.5664	0.5712	0.83835		-0.0412	0.0698	-0.5892	0.5557	0.790491547277937		0.0261	0.0041	1.0313	0.0118	0.0024	0.0053	NA	NA
