trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Nerve, nerve root and plexus disorders	Medical history and conditions	0.0262	0.6083	0.79420092348285		0.0262	0.0511	0.5124	0.6083	0.79420092348285		0.0104	0.045	0.2311	0.8172	0.959435587188612		0.0183	0.0471	0.3889	0.6974	0.871891424968474		0.0181	0.0019	1.0103	0.0082	0.0033	0.0058	NA	NA
Disorders of synovium and tendon	Medical history and conditions	0.0452	0.6087	0.79420092348285		-0.0452	0.0883	-0.512	0.6087	0.79420092348285		-0.0155	0.0852	-0.1814	0.8561	0.977745862068966		-0.0307	0.0837	-0.367	0.7136	0.878892154420922		0.0049	0.0012	0.9991	0.0058	0.0017	0.0055	NA	NA
Pulse wave Arterial Stiffness index	Physical measures	0.0338	0.5642	0.795996861626248		0.0214	0.0567	0.3782	0.7053	0.852740464547677		0.0338	0.0605	0.5587	0.5764	0.861117220543807		0.0335	0.058	0.5766	0.5642	0.795996861626248		0.0407	0.0047	1.0054	0.0073	0.003	0.0054	Arterial stiffness - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=21021
3mm cylindrical power (right)	Physical measures	0.0372	0.5218	0.797539743589744		-0.0139	0.0518	-0.2677	0.7889	0.901990867052023		-0.0372	0.0581	-0.6406	0.5218	0.821751910828025		-0.0306	0.0534	-0.5738	0.5661	0.797539743589744		0.0944	0.0089	0.9998	0.0068	0.0017	0.0056	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5116
3mm cylindrical power angle (left)	Physical measures	0.0385	0.4431	0.799280639431616		-0.0035	0.0577	-0.0605	0.9517	0.980449270833333		-0.0385	0.0502	-0.767	0.4431	0.799280639431616		-0.0259	0.0519	-0.4992	0.6176	0.821069127516779		0.0487	0.0069	0.9955	0.0064	-6e-04	0.0046	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5112
Calcium	Diet by 24-hour recall	0.0524	0.4513	0.799280639431616		-0.0286	0.074	-0.3862	0.6993	0.847558455882353		-0.0524	0.0696	-0.7532	0.4513	0.799280639431616		-0.0396	0.0705	-0.5617	0.5743	0.80316258790436		0.0462	0.01	0.9929	0.0067	-0.0051	0.0048	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100024
Volume level set by participant (left)	Physical measures	0.0523	0.4539	0.799280639431616		-0.0076	0.0671	-0.1131	0.9099	0.95890914893617		-0.0523	0.0699	-0.7489	0.4539	0.799280639431616		-0.0343	0.0671	-0.5112	0.6092	0.81884369063772		0.0256	0.0045	1.0048	0.0063	0.0065	0.0054	Hearing test - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4270
Illnesses of siblings: Severe depression	Family history and early life factors	0.0377	0.4549	0.799280639431616		0.0131	0.0522	0.2505	0.8022	0.905905936073059		-0.0377	0.0505	-0.7473	0.4549	0.799280639431616		-0.017	0.0497	-0.3426	0.7319	0.890343296432964		0.0157	0.0018	1.0019	0.0068	8e-04	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Physically abused by family as a child	Mental health	0.0348	0.4583	0.799657417102967		0.013	0.0526	0.2478	0.8043	0.906864618885097		-0.0348	0.0469	-0.7417	0.4583	0.799657417102967		-0.0141	0.0477	-0.2948	0.7681	0.897339433293979		0.06	0.0049	1.0024	0.0069	0.0016	0.0053	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488
Cooked vegetable intake	Lifestyle and environment	0.0289	0.4653	0.800112998266898		0.0185	0.0399	0.4636	0.6429	0.820056426735219		-0.0289	0.0396	-0.7301	0.4653	0.800112998266898		-0.01	0.0398	-0.2522	0.8009	0.912178941311853		0.039	0.0021	1.0168	0.0076	-0.0065	0.0057	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1289
Ever used hormone-replacement therapy (HRT)	Maternity and sex-specific factors	0.0292	0.4786	0.803061317567568		0.0104	0.047	0.2216	0.8247	0.912335906040268		0.0292	0.0411	0.7086	0.4786	0.803061317567568		0.0241	0.0431	0.5587	0.5763	0.80316258790436		0.0482	0.0033	0.9976	0.0081	0.0056	0.0059	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2814
Non-oily fish intake	Lifestyle and environment	0.0381	0.4847	0.80316258790436		-0.0155	0.0467	-0.3318	0.7401	0.874595486935867		-0.0381	0.0546	-0.6988	0.4847	0.805661008403361		-0.028	0.0502	-0.5584	0.5766	0.80316258790436		0.0251	0.002	1.0142	0.0084	0.0052	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1339
logMAR, final (right)	Physical measures	0.0561	0.4921	0.80316258790436		0.0234	0.0841	0.2781	0.7809	0.896991986062718		0.0561	0.0817	0.6869	0.4921	0.811144833333333		0.0465	0.0831	0.5597	0.5757	0.80316258790436		0.0352	0.007	1.0018	0.0073	0.0104	0.0058	Visual acuity - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5201
Diagnoses - main ICD10: K22 Other diseases of oesophagus	Medical history and conditions	0.0406	0.6169	0.803839393939394		0.0406	0.0812	0.5002	0.6169	0.803839393939394		-0.0057	0.087	-0.0653	0.9479	0.998404284221526		0.0162	0.084	0.1927	0.8472	0.933314048672566		0.0074	0.0015	1.0082	0.0072	-9e-04	0.0056	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Medical history and conditions	0.0411	0.4831	0.805661008403361		0.0254	0.0575	0.4424	0.6582	0.823792045454545		-0.0411	0.0586	-0.7013	0.4831	0.805661008403361		-0.0113	0.0578	-0.1949	0.8455	0.933258370535714		0.0206	0.0021	1.0372	0.0104	0.0059	0.0063	NA	NA
Home location - east co-ordinate (rounded)	Lifestyle and environment	0.0358	0.6151	0.806425394736842		-0.0358	0.0721	-0.4962	0.6197	0.806425394736842		-0.0216	0.0591	-0.3655	0.7147	0.912991176470588		-0.032	0.0636	-0.5028	0.6151	0.820923315363881		0.0114	0.0019	1.2827	0.0093	0.0026	0.0057	Home locations - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22702
Age started wearing glasses or contact lenses	Medical history and conditions	0.025	0.4977	0.806757303370787		0.0078	0.033	0.2365	0.813	0.908324269662921		0.025	0.0369	0.678	0.4977	0.813395379537954		0.0188	0.0341	0.5522	0.5808	0.806757303370787		0.0737	0.0036	1.0255	0.0096	-0.0029	0.0064	Eyesight - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2217
Saturated fat	Diet by 24-hour recall	0.0566	0.581	0.806968671328671		0.0348	0.0873	0.3985	0.6903	0.842847777777778		0.0566	0.1026	0.5519	0.581	0.864073684210526		0.0517	0.0943	0.5486	0.5833	0.806968671328671		0.0324	0.0099	1.0051	0.0066	3e-04	0.0047	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100006
Average monthly fortified wine intake	Lifestyle and environment	0.0766	0.5818	0.806968671328671		-0.0497	0.1294	-0.3838	0.7011	0.8487		-0.0695	0.1441	-0.4827	0.6293	0.887423219373219		-0.0766	0.1392	-0.5507	0.5818	0.806968671328671		0.0335	0.0174	0.9906	0.0064	0.0013	0.005	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4451
Sweet snack consumers	Diet by 24-hour recall	0.0494	0.6226	0.80913455978975		-0.0494	0.1004	-0.4921	0.6226	0.80913455978975		0.0457	0.1048	0.436	0.6628	0.90026095890411		-3e-04	0.1015	-0.0026	0.9979	0.9987		0.0275	0.0094	1.005	0.0072	-6e-04	0.0056	Soup/snacks/pastries yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102250
Relative age voice broke	Maternity and sex-specific factors	0.0325	0.5009	0.810403883495146		0.023	0.0498	0.4606	0.6451	0.820056426735219		0.0325	0.0482	0.6731	0.5009	0.813448440065681		0.0271	0.0503	0.5377	0.5908	0.810403883495146		0.0701	0.0051	1.0124	0.0084	-0.0088	0.0065	Male-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2385
Impact on normal roles during worst period of anxiety	Mental health	0.0393	0.6245	0.810538713910761		-0.0393	0.0803	-0.4895	0.6245	0.810538713910761		-0.0143	0.0871	-0.1645	0.8693	0.978086120591581		-0.0306	0.0829	-0.3694	0.7118	0.877768329177057		0.0548	0.0133	0.9937	0.0069	0.0075	0.0047	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20418
Mineral and other dietary supplements: Selenium	Medications	0.0542	0.4936	0.812263560732113		0.0266	0.077	0.3458	0.7295	0.868201564380265		-0.0542	0.0792	-0.6846	0.4936	0.812263560732113		-0.0253	0.076	-0.3328	0.7393	0.892756654456654		0.0068	0.0015	1.0006	0.0068	0.0048	0.0054	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179
Malignant neoplasm of prostate	Medical history and conditions	0.039	0.4956	0.813395379537954		0.0027	0.0614	0.0434	0.9654	0.985325696594427		0.039	0.0573	0.6815	0.4956	0.813395379537954		0.0222	0.0576	0.3865	0.6991	0.871891424968474		0.0261	0.0041	1.0315	0.0117	0.0032	0.0052	NA	NA
Illnesses of father: High blood pressure	Family history and early life factors	0.0354	0.503	0.815519672131148		-0.011	0.0534	-0.2052	0.8374	0.919188235294118		-0.0354	0.0528	-0.6697	0.503	0.815519672131148		-0.025	0.0522	-0.48	0.6312	0.824253421052632		0.0192	0.0016	1.0148	0.0068	0.0139	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107
Age started smoking in current smokers	Lifestyle and environment	0.0336	0.6323	0.816376892950392		-0.0336	0.0703	-0.4784	0.6323	0.816376892950392		0.007	0.0646	0.1088	0.9134	0.993787238723872		-0.0062	0.0654	-0.0943	0.9249	0.974285866099894		0.1018	0.0162	0.9994	0.0062	-0.0036	0.0049	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3436
Mean reticulocyte volume	Biological samples	0.0234	0.5052	0.817745990180033		-0.006	0.0308	-0.1943	0.846	0.925546460176991		-0.0234	0.0352	-0.6663	0.5052	0.817745990180033		-0.0166	0.0333	-0.4985	0.6182	0.821069127516779		0.1863	0.0193	1.1728	0.0559	0.0093	0.0081	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30260
Lamb/mutton intake	Lifestyle and environment	0.0196	0.5837	0.81884369063772		0.0153	0.0393	0.3904	0.6962	0.844836564417178		0.0196	0.0358	0.5479	0.5837	0.864823922734027		0.0194	0.0374	0.5204	0.6028	0.81884369063772		0.0418	0.0023	1.0247	0.0081	0.003	0.0058	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1379
Bipolar and major depression status: Probable Recurrent major depression (moderate)	Mental health	0.0383	0.6369	0.820056426735219		0.0383	0.0812	0.472	0.6369	0.820056426735219		-0.0094	0.0797	-0.118	0.906	0.990637417218543		0.0089	0.079	0.1131	0.9099	0.968666415500538		0.028	0.0053	0.9955	0.0065	-5e-04	0.0054	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20126
Mouth/teeth dental problems: None of the above	Medical history and conditions	0.0198	0.6398	0.820056426735219		-0.0198	0.0422	-0.468	0.6398	0.820056426735219		5.7455e-05	0.0491	0.0012	0.9991	0.9998		-0.0075	0.0466	-0.1606	0.8724	0.945020372398686		0.0389	0.0019	1.015	0.0079	-0.0159	0.0057	Mouth - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149
Non-butter spread type details: Polyunsaturated/sunflower oil based spread (eg: Flora)	Lifestyle and environment	0.0555	0.6418	0.820056426735219		-0.0555	0.1192	-0.4652	0.6418	0.820056426735219		-0.0109	0.1088	-0.1003	0.9201	0.997783881578947		-0.0362	0.1109	-0.3269	0.7437	0.893278928571429		0.0061	0.0026	1.0005	0.0065	-0.0079	0.0056	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2654
Energy	Diet by 24-hour recall	0.0354	0.6427	0.820056426735219		0.0354	0.0764	0.4639	0.6427	0.820056426735219		0.0048	0.0761	0.0628	0.9499	0.998404284221526		0.0214	0.0751	0.2854	0.7753	0.902898823529412		0.0423	0.0095	1.0076	0.0067	-0.0013	0.0047	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100002
Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')	Medical history and conditions	0.0316	0.6439	0.820056426735219		-0.0316	0.0684	-0.4622	0.6439	0.820056426735219		1e-04	0.0581	0.0023	0.9982	0.9998		-0.0199	0.0623	-0.3201	0.7489	0.893278928571429		0.0096	0.0014	1.0353	0.0071	0.0011	0.0051	Eyesight - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6147
Why stopped smoking: None of the above	Lifestyle and environment	0.032	0.6445	0.820056426735219		-0.032	0.0694	-0.4615	0.6445	0.820056426735219		0.0066	0.0547	0.1198	0.9046	0.990637417218543		-0.0096	0.0609	-0.1584	0.8742	0.945934135667396		0.0374	0.0054	0.996	0.0065	0.0028	0.0052	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6157
Malignant neoplasm of skin	Medical history and conditions	0.0293	0.5095	0.821062662337662		-0.0019	0.0465	-0.0402	0.9679	0.985744032921811		0.0293	0.0445	0.6596	0.5095	0.821062662337662		0.0168	0.0438	0.3837	0.7012	0.872230991217064		0.0264	0.0045	1.0268	0.0135	-0.0049	0.0058	NA	NA
Lifetime number of sexual partners	Lifestyle and environment	0.025	0.5106	0.821062662337662		-0.0017	0.0364	-0.0474	0.9622	0.985325696594427		-0.025	0.0381	-0.6578	0.5106	0.821062662337662		-0.014	0.0368	-0.3814	0.7029	0.872230991217064		0.0814	0.0035	1.0187	0.0097	0.0121	0.0064	Sexual factors - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2149
Aspartate aminotransferase (U/L)	Biological samples	0.0286	0.5151	0.821751910828025		0.0113	0.0309	0.3651	0.7151	0.857373090909091		-0.0286	0.0439	-0.6509	0.5151	0.821751910828025		-0.0132	0.0391	-0.3384	0.7351	0.891189473684211		0.1256	0.0094	1.1207	0.0497	0.0074	0.0067	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30650
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy	Medications	0.0492	0.5157	0.821751910828025		0.0057	0.0802	0.0705	0.9438	0.977401256544503		0.0492	0.0757	0.6499	0.5157	0.821751910828025		0.0325	0.0778	0.4183	0.6758	0.854688235294118		0.016	0.0025	1.0005	0.0061	0.0102	0.0061	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153
Age when periods started (menarche)	Maternity and sex-specific factors	0.0177	0.5193	0.821751910828025		0.0059	0.0312	0.1881	0.8508	0.926330693069307		0.0177	0.0274	0.6444	0.5193	0.821751910828025		0.0137	0.029	0.4708	0.6378	0.826151570680628		0.2087	0.0104	1.0012	0.0125	-0.0073	0.0059	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2714
Pain type(s) experienced in last month: Neck or shoulder pain	Medical history and conditions	0.0244	0.5214	0.821751910828025		0.008	0.041	0.1946	0.8457	0.925546460176991		-0.0244	0.0381	-0.6413	0.5214	0.821751910828025		-0.0114	0.0389	-0.2929	0.7696	0.897564150943396		0.0327	0.0019	1.0198	0.0075	-0.0021	0.0055	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159
Gas or solid-fuel cooking/heating: None of the above	Sociodemographics	0.04	0.6493	0.823279102564103		-0.04	0.0879	-0.4547	0.6493	0.823279102564103		0.0097	0.0746	0.1298	0.8967	0.98977265625		-0.0208	0.0775	-0.2685	0.7883	0.905492102206736		0.0047	0.0012	0.9992	0.0063	-0.0014	0.0054	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139
Diseases of the ear and mastoid process	Medical history and conditions	0.0384	0.6563	0.823792045454545		0.0384	0.0863	0.4451	0.6563	0.823792045454545		0.0105	0.0739	0.1415	0.8875	0.986787472035794		0.0233	0.0767	0.3036	0.7614	0.893494201183432		0.0047	0.0013	0.9975	0.0065	-0.0025	0.0046	NA	NA
Former alcohol drinker	Lifestyle and environment	0.027	0.6571	0.823792045454545		0.027	0.0609	0.4439	0.6571	0.823792045454545		-0.0262	0.0694	-0.3775	0.7058	0.912465620915033		-9e-04	0.0645	-0.0135	0.9893	0.997717629179331		0.114	0.0185	0.9982	0.006	0.0014	0.0051	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3731
Frequency of stair climbing in last 4 weeks	Lifestyle and environment	0.0181	0.6578	0.823792045454545		-0.0181	0.0408	-0.443	0.6578	0.823792045454545		-0.012	0.039	-0.3081	0.758	0.927475705521472		-0.0158	0.0393	-0.4028	0.6871	0.864027503168568		0.0356	0.002	1.0156	0.0078	0.0012	0.0053	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=943
Illnesses of father: Severe depression	Family history and early life factors	0.0394	0.5248	0.823852698412698		0.0162	0.0723	0.2247	0.8222	0.910588801791713		-0.0394	0.062	-0.636	0.5248	0.823852698412698		-0.0156	0.0656	-0.2378	0.8121	0.922120436280138		0.008	0.0016	1.0013	0.0068	-0.002	0.0054	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107
Tinnitus: Yes, now most or all of the time	Medical history and conditions	0.0329	0.5725	0.824253421052632		0.0068	0.0612	0.1113	0.9114	0.95890914893617		0.0329	0.0582	0.5643	0.5725	0.861073373676248		0.0285	0.0586	0.4862	0.6269	0.824253421052632		0.0309	0.0044	1.0039	0.0069	-0.0073	0.0052	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4803
Mental health problems ever diagnosed by a professional: Panic attacks	Mental health	0.0323	0.5881	0.824253421052632		0.0208	0.0723	0.2878	0.7735	0.89391273364486		0.0323	0.0597	0.5416	0.5881	0.864823922734027		0.0303	0.0633	0.4781	0.6326	0.824253421052632		0.0227	0.0041	1.0022	0.0069	9e-04	0.0049	Mental distress - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20544
FI7 : synonym	Cognitive function	0.0271	0.6299	0.824253421052632		0.0237	0.0592	0.4008	0.6886	0.841811372064277		0.0219	0.0548	0.3996	0.6894	0.901988903566711		0.0271	0.0562	0.4819	0.6299	0.824253421052632		0.0527	0.0071	1.0088	0.007	-0.0051	0.0052	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5001
Handedness (chirality/laterality): Left-handed	Family history and early life factors	0.0487	0.527	0.824791627172196		0.007	0.0776	0.0903	0.9281	0.967219072708114		0.0487	0.077	0.6326	0.527	0.824791627172196		0.0334	0.0782	0.4272	0.6692	0.849600513478819		0.0103	0.0015	1.0028	0.007	-0.0035	0.0055	Early life factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707
Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder	Mental health	0.0363	0.5275	0.824791627172196		-0.0113	0.0601	-0.1881	0.8508	0.926330693069307		-0.0363	0.0574	-0.6318	0.5275	0.824791627172196		-0.0259	0.0576	-0.449	0.6535	0.841418652849741		0.0355	0.0042	0.9971	0.0068	0.0022	0.0055	Mental distress - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20544
Ever had known person concerned about, or recommend reduction of, alcohol consumption: Yes, but not in the last year	Mental health	0.0333	0.6639	0.827152327044025		0.0333	0.0766	0.4345	0.6639	0.827152327044025		-0.0109	0.0794	-0.1369	0.8911	0.986787472035794		0.0128	0.0775	0.1647	0.8692	0.943562390350877		0.0169	0.0041	0.997	0.0063	0.0202	0.0048	Alcohol use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20405
Loud music exposure frequency	Medical history and conditions	0.0293	0.6348	0.830115538847118		0.0293	0.0686	0.4269	0.6694	0.830115538847118		-0.0248	0.0523	-0.4749	0.6348	0.89052085106383		-4e-04	0.0567	-0.0063	0.995	0.997717629179331		0.0299	0.0044	1.0075	0.0066	0.0015	0.0056	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4836
Time to answer	Cognitive function	0.0237	0.6682	0.830115538847118		0.0237	0.0554	0.4286	0.6682	0.830115538847118		-0.0043	0.0539	-0.0805	0.9358	0.998404284221526		0.0095	0.0538	0.1773	0.8593	0.9369359030837		0.0402	0.0053	1.056	0.0075	0.001	0.005	Prospective memory - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4288
Recent lack of interest or pleasure in doing things	Mental health	0.0226	0.6698	0.830115538847118		0.0226	0.0529	0.4265	0.6698	0.830115538847118		4e-04	0.0517	0.0071	0.9943	0.9998		0.0116	0.0512	0.227	0.8204	0.92347875		0.039	0.0046	1.0003	0.0072	0.0097	0.0051	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20514
Hip pain for 3+ months	Medical history and conditions	0.0851	0.674	0.832933083645443		0.0851	0.2024	0.4206	0.674	0.832933083645443		-0.0441	0.2209	-0.1997	0.8417	0.97142543554007		0.0026	0.2112	0.0122	0.9903	0.997717629179331		0.011	0.0111	1.0096	0.0066	0.0042	0.0056	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3414
Illnesses of mother: Alzheimer's disease/dementia	Family history and early life factors	0.0545	0.6262	0.836478039702233		0.0476	0.116	0.4102	0.6817	0.836478039702233		0.0545	0.1119	0.487	0.6262	0.887266189111748		0.0465	0.1116	0.4168	0.6768	0.854859770114943		0.003	0.0046	1.0385	0.0374	-0.0021	0.0056	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Transport type for commuting to job workplace: Walk	Sociodemographics	0.0239	0.6815	0.836478039702233		-0.0239	0.0581	-0.4104	0.6815	0.836478039702233		0.0171	0.057	0.3001	0.7641	0.927475705521472		-9.02e-05	0.0547	-0.0016	0.9987	0.9987		0.0171	0.0028	0.9968	0.0063	-5e-04	0.0049	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6143
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	Medical history and conditions	0.0136	0.6866	0.841446592317224		0.0136	0.0338	0.4035	0.6866	0.841446592317224		-0.0055	0.0312	-0.1767	0.8597	0.977745862068966		0.0033	0.0325	0.102	0.9188	0.974191443850267		0.0721	0.0056	1.0413	0.0158	4e-04	0.0058	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Intra-ocular pressure, Goldmann-correlated (right)	Physical measures	0.0145	0.6877	0.841751608910891		0.0145	0.0361	0.402	0.6877	0.841751608910891		-0.0018	0.0376	-0.0491	0.9608	0.998404284221526		0.0048	0.0369	0.1305	0.8962	0.959704216216216		0.2025	0.0125	1.0489	0.0118	0.0055	0.0054	Intraocular pressure - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5255
Polyunsaturated fat	Diet by 24-hour recall	0.0884	0.5497	0.842183333333333		-0.0052	0.1174	-0.0445	0.9645	0.985325696594427		-0.0884	0.1478	-0.5982	0.5497	0.848904524180967		-0.0581	0.1316	-0.4416	0.6588	0.842183333333333		0.0155	0.0091	1.005	0.0063	-4e-04	0.0051	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100007
Adopted as a child	Family history and early life factors	0.0543	0.5442	0.842275117370892		-0.0022	0.0798	-0.0273	0.9782	0.991229303278688		-0.0543	0.0896	-0.6065	0.5442	0.842275117370892		-0.0355	0.0841	-0.4227	0.6725	0.852695512820513		0.006	0.0013	0.9983	0.0064	0.0052	0.0051	Early life factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1767
Number of days/week of vigorous physical activity 10+ minutes	Lifestyle and environment	0.0163	0.6928	0.844425738916256		-0.0163	0.0413	-0.3951	0.6928	0.844425738916256		0.0074	0.0402	0.1841	0.854	0.977745862068966		-0.0026	0.0405	-0.0636	0.9493	0.980844363256785		0.0366	0.0023	1.0183	0.0088	0.0037	0.0059	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=904
Oily fish intake	Lifestyle and environment	0.0248	0.5502	0.848904524180967		0.0049	0.0328	0.1505	0.8804	0.947459847660501		-0.0248	0.0415	-0.5975	0.5502	0.848904524180967		-0.0116	0.0375	-0.3106	0.7561	0.893278928571429		0.0647	0.0034	1.0049	0.0107	0.0012	0.0064	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1329
